index,player,tweet,score
200,Joe Burrow,"They were hard at work at  practice fields, unfortunately it had nothing to do with football.  

 and I discuss how the shutdown is affecting the team &amp; rookie QB Joe Burrow 

Watch the full convo 👉:    ",-1
201,Ikem Ekwonu,"CAR:  C-   
Sure they were low on picks, Ekwonu going to be terrific, Corral could push Sammy D but still not great moves. This team may have blown through CMAC’s prime and now is full rebuild.  Matt Rhule better work miracles…
Best pick, IKEM EKWONU",-1
202,Alex Leatherwood," raiders offensive line gets bashed.
But wait raiders fans think andre james is going to be as good as Rodney hudson day 1.   They think Denzel good is great and some how alex Leatherwood is going to slide in and play RT right away and have no dropouts. Rodgers is going to broncos",-1
203,Mekhi Becton,Mekhi Becton consistently showed an ability to get to the 2nd level on run plays. I think I'm okay with never knowing what it feels like to look up and see him coming your way. Doesn't look like much fun.  ,-1
204,Noah Fant,Noah Fant Draft Pick Contenders rookie auto $8 shipped. ,-1
205,Chris Olave,"   He threw for just over 200 yards a game with Jameson Williams, Garrett Wilson, Chris Olave and Jaxson Smith-Njigba. PFF and other media hyped him up based on efficiency metrics. Not hard to be efficient when you have those 4 open. Just land the ball within their catch radius.",-1
206,Kyler Murray,   because the cardinals signed a failed college HC that has been enamored by kyler murray for many years? there’s also belief that murray is the perfect triggerman for kingsbury’s air-raid offense.,-1
207,Kaiir Elam,"I see that  found my Gator wardrobe. Well, now it's bigger. Lito Sheppard, Kaiir Elam, and the Pouncey twins are my most recent additions. ",-1
208,Jeff Okudah,  And why not Jeff Okudah?,-1
209,Brandon Aiyuk,"ICYMI why the 49ers love Brandon Aiyuk so much, a deep dive  ",-1
210,Payton Turner,Payton Turner is gonna end up a great pick I can feel it,-1
211,Devonte Wyatt," HC Matt LaFleur says first-round pick Devonte Wyatt was ""super impressive"" during his pre-draft visit.",-1
212,Trevor Lawrence,"a partir de hoje, minha religião é o cabelo do Trevor Lawrence ",-1
213,Micah Parsons,"Coverage grade since 2019 (per :

1. Zaven Collins, ARZ - 93.4
2. Jeremiah Owusu-Koramoah, CLV - 88.7
3. Nick Bolton, KC - 87.0
4. Micah Parsons, DAL* - 68.5
5. Jamin Davis, WFT - 68.3
6. Pete Werner, NO - 67.3

* = 2020 opt-out

  ",-1
214,Isaiah Simmons,@0Cardao E não vamos ter pena do Isaiah Simmons ,-1
215,Jalen Reagor," Both leagues are sf, 12 team, TE premium 

Sold him + 2.03 to pick Jalen Reagor who fell to 1.11 in a rookie draft

Bought him in a package with Kirk Cousins/James Washington for Davante Adams

I’m probably higher on him than you lol, but I sold him cuz I love what Reagor can be",-1
216,Travon Walker,Report: Lions would have taken Travon Walker No. 2 if Aidan Hutchinson was off the board ,-1
217,Zion Johnson,"Watching the “first day with Zion Johnson” vid on the  YT channel, this guy seems like such a stand out guy and just a really generous dude, I think him and Herbert are gonna get along very well.",-1
218,Kenyon Green," Nos gustaron mucho los picks por el talento, Kenyon Green trae unos red flags por sus rodillas igual metchie fue un buen robo 👏🏼

Esperamos que den la sorpresa, algunos hosts de los programas en nuestro podcast son grandes fans de David Mills .",-1
219,Odafe Oweh,"So far, watching Odafe Oweh vs. Ohio State (2020)

☝️ of my favorite plays...

This is how Wink will use Oweh on 3rd downs. 

Here is Oweh, lined up as the LEO. He stunts from L-side to the offensive right side A Gap (between C &amp; RG). 

He pursues hard to Fields!
 ",-1
220,Derek Stingley,"Players the NFL AGREED with me on:
- Jahan Dotson
- Breece Hall
- Derek Stingley
- Lewis Cine
- Zion Johnson
- Treylon Burks
- Skyy Moore

Players the NFL DISAGREED with me on:
- Every single QB
- Andrew Booth
- Travon Walker
- George Pickens
- Drake London
- Kyle Hamilto",-1
221,Treylon Burks," That’s interesting, yet he still creates separation. Combine numbers only confirm what’s on tape or send you back. What in his film indicates he has poor change of direction? 

His shuttle/3 cone times are 4.5/7.32, Treylon Burks 4.4/7.28 pick 18, Jahan Dotson dnp/7.28 pick 16.",-1
222,Cesar Ruiz,New Kids on the Block: Cesar Ruiz - C/G ,-1
223,Damon Arnette,"  How?

Bears traded away:
2019 first round (running back Josh Jacobs at No. 24 by Raiders)
2020 first round (cornerback Damon Arnette at No. 19)
2020 third round (receiver Bryan Edwards at No. 81)

Bears received:
Mack
2020 second-round pick (tight end Cole Kmet at No. 43)",-1
224,Jerry Jeudy,¿Cómo ven a la ofensiva de los  con la adición de Jerry Jeudy y Melvin Gordon? Recordemos que tomaron también un centro en el Draft. Suficientes armas para que Drew Lock brille y demuestre de lo que es capaz.  ,-1
225,Daniel Jones," 2 weeks ago 0 1st Rd picks and $25 out of $100 for rds 2 thru 5. Got the 1.10 for Funchess &amp; used some 2020 draft $ to move to 7 &amp; got Deebo &amp; paid $14 for Miles Boykin, $2 for Daniel Jones and a few bucks for Tony Pollard. 12 team ppr 3 firsts in 2020. How did I do? ",-1
226,Brandon Aiyuk,"Why Brandon Aiyuk's ex-coaches believe he'll immediately impact 49ers

+1 NinerBot #49ers",-1
227,Rashod Bateman,"Rashod Bateman: Baltimore's WR1 😎
",-1
228,Daxton Hill,"🏈 NFL Draft Prospect: Daxton Hill, Safety, Michigan with Vincent Turner ...  via   #2022nfldraft ",-1
229,Derek Stingley,"For you  fans with draft withdrawal &amp; nothing to do tonight, watch what this LSU insider told me about 1st rd pick Derek Stingley.  Great stuff!

",-1
230,Christian Wilkins,Christian Wilkins &gt; ,-1
231,Deandre Baker," Sure, but it's not like Moreland is tiny. 5'10"", 179. Greedy Williams was only 185 pounds, and he's 6'2"". Deandre Baker is only an inch taller at 5'11""",-1
232,Eric Stokes,"Eric Stokes meet &amp; greet tickets are on sale at  $45 gets you an autograph and an optional photo with Eric. 1-3 Saturday at Dave &amp; Buster’s in Marietta, GA! ",-1
233,Noah Fant,  Nah we dont want late rounders here.  They need to do TJ Hockenson and Noah Fant.,-1
234,Marquise Brown,Ravens at the Yard. Draft picks Marquise Brown &amp; Jaylon Ferguson here for O’s v Red Sox. Strong nickname game     ,-1
235,Penei Sewell,"Taylor Decker, first-round pick: Signed through 2024

Frank Ragnow, first-round pick: Signed through 2026.

Penei Sewell, first-round pick: Will be signed through 2024 with an option for 2025

That's one hell of a way to build your offensive line.",-1
236,Gregory Rousseau,"2021 Defensive Rookie of the Year odds ():

+400 Micah Parsons
+700 Jamin Davis
+750 Jaelan Phillips
+1000 Jaycee Horn
+1000 Kwity Paye
+1100 Patrick Surtain
+1200 JOK
+1200 Zaven Collins
+1600 Odafe Oweh
+1800 Gregory Rousseau
+2200 Azeez Ojulari
+2200 Caleb Farley",-1
237,Johnathan Abram,"Few good looks in coverage from Johnathan Abram here. He’s obviously most effective working down hill, and in the box, but is comfortable enough in space. Check him working across the formation as well.  ",-1
238,Johnathan Abram,  Johnathan Abram - 24 ?????????.........ummmm.........,-1
239,Trevor Penning,"Saints 2022 Draft Pick Profile: Trevor Penning
  

",-1
240,Daxton Hill,DAXTON HILL 🥰😃🥰😍🤩😛❤️🧡💛💚💙💜🤎🖤🤍♥️,-1
241,K'Lavon Chaisson,"K'Lavon Chaisson Talks Sacking Joe Burrow, Odell Beckham Jr., More in B/R AMA   ",-1
242,Ed Oliver," I know it’s extremely early, but I want you too keep an eye on Isaiah Chambers, DL Houston this year for the 2020 draft. You probably noticed him while watching Ed Oliver, but I think he has a potential breakout season incoming. One of my sneaky early sleepers.",-1
243,Jaycee Horn,     Jaycee Hor,-1
244,Kyle Pitts,"Modeling NFL first-rounders: projections for Trey Lance, Kyle Pitts and more top picks 
via 
",-1
245,Christian Wilkins,"Christian Wilkins Embraces Miami, Excited To Play For Brian Flores  via   ",-1
246,Kenyon Green, that Kenyon Green one is so clea,-1
247,Jermaine Johnson,"   Do you think the Jets will regret the pick swap in the third and losing a 5th round pick for Jermaine Johnson, a top eight player on their board? Or trading a 5th to move up a couple of spots for the best running back in the draft which could help galvanize our run game?",-1
248,Brian Burns,Brian Burns and Christian Miller with linebacker numbers ,-1
249,Andre Dillard, I really like Andre Dillard to Eagles think that was one of best picks in draft and knowing to trade up in front of texans was good move. Think he fits really well with that team and easy transition from peters,-1
250,Chris Lindstrom,Breer says Bengals would have taken Cody Ford or Chris Lindstrom at 11 if Jonah was already selected. ,-1
251,Clyde Edwards-Helaire,Clyde Edwards-Helaire - 6 TDs,-1
252,Trevor Penning,   The difference in Evan Neal and Trevor Penning deal is 13 million dollars. That’s what you’re not understanding. I’m aware you can get drafted high while playing at a small school. But if your Addisons caliber go where you have the best odds to go as high as possible…,-1
253,Jordyn Brooks,"JORDYN BROOKS: Uma fera!

Nossa primeira escolha do Draft 2020 foi  de Texas Tech, e torcemos para que o jogador consiga jogar no mais alto nível! Fica esse vídeo de boas vindas, e que seja feliz em Seattle!

 welcome to Seahawks!

GoHawks! ",-1
254,Rashawn Slater, @0x676f64   You got Rashawn Slater at 23? I thought he was selected at pick 13. Also Kellen Mond is shit and will be a career backup.,-1
255,AJ Terrell,"Study: Atlanta PLAYING CHESS drafting PHYSICAL AJ Terrell!!  via  kid can ball and physical af, grabs a lot but I like em",-1
256,Caleb Farley,"   Caleb Farley is 22 years old, and likely heals to close to 100% by season start. 

Delaine Walker is 37 and hasn't played football in over two years. 

I'm not itching to sign Randy Moss because he's ""proven talent"" lo",-1
257,DeVonta Smith,Devonta Smith is my pick. ,-1
258,Jerry Tillery,Here's Jerry Tillery working with Harry Hiestand at the 2014 Irish Invasion. ,-1
259,Jordan Davis,Jordan Davis singing All Falls Down😭 this duo finna be annoying to play against ,-1
260,Christian Wilkins,"Christian Wilkins has a great financial mindset. Have you tried his smart money-saving strategy?   
 ",-1
261,K'Lavon Chaisson, K'Lavon Chaisson ,-1
262,Odafe Oweh,"The workout: Odafe Oweh’s speed and power at pro day made believers of Ravens
",-1
263,Kyler Murray,"With the first pick of the 2019 DUFF Dynasty Rookie Draft, the Goiânia Beer select... Kyler Murray, QB, Arizona!!!",-1
264,Patrick Surtain II,"Saints Tried to Trade into Top 10 for Jaycee Horn or Patrick Surtain II
",-1
265,Deandre Baker, what do you think Deandre Baker?,-1
266,Zion Johnson,"I was thinking trade back and grab a CB, fans around me wanted a CB, but I was happy to find out we got Zion Johnson Guard out of Boston College! I didn’t predict it, but our O-Line is STACKED now ⚡️⚡️⚡️ Follow me on tiktok for more! ⁦⁩ ",-1
267,Najee Harris,"Let’s see if I can get this right 2021:

Trevor Lawrence &gt;Joe Burrow
Najee Harris&gt;Cam Akers
Kyle Pitts&gt;George Kittle
Terrace Marshall&gt;Brandon Aiyuk
DeVonta Smith&gt;Tee Higgins ",-1
268,Tytus Howard, Que o Tytus Howard seja o mesmo cara do Senior Bow,-1
269,Jerry Jeudy, It’s going to be Jerry Jeudy,-1
270,Travis Etienne,"James Robinson and Travis Etienne will compliment each other well. This buy window was easy to see coming, I’ve been talking about it long before the draft. ",-1
271,Rashod Bateman,"THEN Adams is gonna want out for sure.

Chargers: Davante Adams
Packers: Mike Williams, 2022 1st rounder, and a 2023 3rd rounder (if Adams re-signs it turns into a 2nd).

Or

Ravens: Davante Adams
Packers: Rashod Bateman, 2022 2nd selection( turns into a 1st if Adams re-signs).",-1
272,Penei Sewell,  Penei Sewell not being on this list is weird,-1
273,Christian Wilkins,The Audible with Christian Wilkins | The draft process  ,-1
274,C.J. Henderson," 2019 Draft Grades

C.J. Henderson: B
K'Lavon Chaisson: B
Laviska Shenault: B
DaVon Hamilton: B
Ben Bartch: F
Josiah Scott: C
Shaq Quarterman: A
Daniel Thomas: C
Collin Johnson: B
Jake Luton: C
Tyler Davis: D
Chris Claybrooks: D

Overall: C",-1
275,Tyler Linderbaum,"When you plan for 25 minutes, but go for 1 hour and 10 minutes, you know you're getting some good ole fashion big hog talk.

Tap in with  and  to breakdown some Tyler Linderbaum and what he can do for the .



",-1
276,Mac Jones, It’s kind of the same thing when sportswriters are like “no they were definitely going to take Mac Jones a week ago!” And like okay but they didn’t end up taking him so....,-1
277,Daxton Hill,"When Daxton Hill () got“the call” from the Cincinnati  📲

 ",-1
278,Zion Johnson,"My All Rookie team

QB- Malik Willis
RB- Breece Hall
WR- Treylon Burks
T- Evan Neal
G- Zion Johnson
C- Tyler Linderbaum 

EDGE- Aidan Hutchinson 
DT- Jordan Davis
LB- Devin Lloyd
CB- Derek Stingley 
S- Kyle Hamilto",-1
279,Deandre Baker,Deandre Baker wants to prove he’s worth what Giants gave up ,-1
280,Drake London, Drake Londo,-1
281,Javon Kinlaw,"New post — The top scheme fits from the 2020  draft class 

• CB Jeff Okudah —  
• DT Javon Kinlaw — #49ers 
• S Grant Delpit —  
• RB Cam Akers —  
• LB Josh Uche — 

It’s up at E+ 

",-1
282,Ed Oliver,"Ed Oliver will make instant-impact with Buffalo Bills, says Mel Kiper Jr. ",-1
283,Isaiah Simmons,"Isaiah Simmons Aiding Arizona with Donation of 60,000 Meals | go ⁦⁩! Go ⁦⁩  ",-1
284,Jaylen Waddle,  Jaylen Waddle,-1
285,Kaiir Elam,Kaiir Elam will lead the Bills in interceptions in '22.  Book it,-1
286,Devin Bush Jr.,Michigan's Devin Bush Jr. was exactly what Pittsburgh Steelers wanted ,-1
287,Zaven Collins,"The expectation is new  'MIKE' LB Zaven Collins plays, and perhaps starts, Wk 1. How steep of a climb will that be?

Listen to this week's  w/   and I on Apple Podcast 
or Spotify ",-1
288,Clyde Edwards-Helaire,"             Lol what? Supremely more talented than Travis Kelce, Tyreek Hill, Sammy Watkins, Mecole Hardman, Demarcus Robinson, Damien Williams, and now Clyde Edwards-Helaire for the cherry on top? I don't think so.",-1
289,Jeffery Simmons,NFL Draft Profile: Jeffery Simmons | PFF ,-1
290,Tyler Smith, Praying Tyler smith takes no. 54,-1
291,Kyle Pitts,"When Julio leaves the Falcons this offseason 

Kyle Pitts will break the internet",-1
292,Zaven Collins,"From Class A football to first-round pick, Zaven Collins has arguably best story of NFL Draft ",-1
293,Garrett Wilson,"    The back up is that Garrett Wilson was now drafted there and he’s also undersized. 

I’d be a lot higher on Moore if they drafted a prototypical X like London or Burks, but instead they drafted someone very similar.",-1
294,Zaven Collins,"Welcome to Arizona, Zaven Collins!

 |   
",-1
295,Mac Jones,Mac Jones is the only reason I don’t wanna have to do that because it doesn’t have internet connection and I can’t think of anything else to do ,-1
296,Kenny Pickett, Except for qb1 Kenny Pickett but yes I agree otherwise,-1
297,Rashan Gary,📽️: Rashan Gary speaking with  GM Brian Gutekunst and HC Matt LaFleur on draft night. How can you not root for the guy after seeing this?  ,-1
298,Chase Young, Say he and Chase Young had full healthy testing and his Testing was superior?,-1
299,Devin Bush Jr.,"Former Flanagan standout LB Devin Bush Jr. went to the Steelers at No. 10 last night. 

You know who was another inside linebacker out of Broward County and then the Big Ten to go to Pittsburgh in the first round? Ryan Shazier.
",-1
300,Devin Bush Jr.,"Michigan had two players – Devin Bush Jr. and Rashan Gary – selected in the first round of the NFL Draft on Thursday...

",-1
301,Quay Walker,Quay Walker bout to be an issue ,-1
302,Quay Walker,"Oficialmente los que fueran compañeros en la Universidad de Georgia, Devonte Wyatt y Quay Walker, son jugadores de los Green Bay Packers ",-1
303,Jordan Love,"People are arguing about the schedule, just remember that the Packers are going 0-16. They drafted Jordan Love, the media told us how bad that was. No way they win a game this year.",-1
304,Christian Wilkins,Five Fun Facts About Miami Dolphins First-Round Pick Christian Wilkins  ,-1
305,Evan Neal,New  OT Evan Neal made this jersey look kids sized. 😅 ,-1
306,Alijah Vera-Tucker,. insiders take notes on Alijah Vera-Tucker ,-1
307,K'Lavon Chaisson,K’Lavon Chaisson can’t wait to sack former LSU teammate Joe Burrow: ‘I’ll take that fine’  ,-1
308,Quinnen Williams,Recent trends say Jets' first-round pick Quinnen Williams will be a star ,-1
309,Charles Cross,"2022 Seahawks
• Most Underrated: Darrell Taylor 
• Best Player: DK Metcalf
• Key New Addition: Charles Cross
• Could Surprise: Dee Eskridge
• Takes a Leap:  Tre Brown 
• Make or Break Year: Marquise Blair ",-1
310,Ikem Ekwonu,"OL: Jamaree Slayer Los Angeles Chargers
OT: Evan Neal New York Giants
OT: Ikem Ekwonu Carolina Panthers",-1
311,Isaiah Simmons,"Two more inches, and this kid will be the next Isaiah Simmons. Check out Deondrick Speight hudl.  ",-1
312,Patrick Surtain II,"Did any position group improve more this offseason than the Broncos secondary? They added

-Ronald Darby
-Kyle Fuller
-Patrick Surtain II
-Caden Stearns

Vic Fangio is going to have a lot of fun next year",-1
313,Ikem Ekwonu,Pre-draft I wrote for SI Jets Ikem Ekwonu should go top-10 first-round. He went top-10 (No. 6) overall to the  in the 2022  ,-1
314,Caleb Farley,"Caleb Farley: 26.8 passer rating in coverage in 2019

Lowest among all P5 CBs ",-1
315,Trey Lance, Don’t think Trey Lance will play this year. Fields apparently has the better team around him.,-1
316,Jeff Gladney,Jeff Gladney was born the day before 'Jerry Maguire' was released in movie theaters.,-1
317,Kadarius Toney,"Dave Gettleman acabou de dizer na NFL Network que ia selecionar o LB Jamin Davis, de Kentucky, com a pick 20. Washington pegou ele com a pick 19 e, o Giants acabou pegando o WR Kadarius Toney.",-1
318,Chris Lindstrom,"I'm not sure what you've heard, but does anyone else think it's weird that when you get  fans into a room... All they want to talk about is offensive lineman Chris Lindstrom's terrific hand strength?  ",-1
319,Travis Etienne,"Should Travis Etienne be the Jaguars' starting running back in Week 1? (via )

",-1
320,Payton Turner,"18. Jaelan Phillips: 76 S
19: Jamin Davis 71 N
20: Kadarious Toney: 70 N
21: Kwity Paye: 73 N
22: Caleb Farley: 75 N
23: Christian Darissaw: 74 S
24: Najee Harris: 76 S
25: Travis Etienne: 75 S
26: Greg Newsome II: 73 N
27: Rashod Bateman: 72 N
28: Payton Turner: 69 N",-1
321,Isaiah Wilson,Isaiah Wilson's Mother Tosses Becky From His Lap Live During The NFL Draft  via ,-1
322,Deandre Baker,"Deandre Baker - DROY

Book it",-1
323,Garrett Bradbury,Garrett Bradbury discusses transition to Vikings  ,-1
324,Ja'Marr Chase,"First of all, how is that pressure? Zac Taylor expresses how highly he thinks of Ja'Marr Chase and all of the sudden ESPN makes it a criminal act. ",-1
325,Payton Turner,New  DE Payton Turner already back in the lab putting in work. 🔥 ,-1
326,Dwayne Haskins,"I’m no scout, and of course opinions vary, but seeing Alex Smith when watching Dwayne Haskins, to me, is more about the scheme used, and not the prospect. ",-1
327,Christian Wilkins,"First Rookie Draft is clipping away. My picks so far 👇🏻below. 16 team ppr full  with some pretty solid  players and lots of trading.
NKeal Harry 3rd overall 
Drew Lock 27th 
Clelin Ferrell 31st 
Justice Hill 40th 
Christian Wilkins 47th 
Myles Gaskin 48th ",-1
328,Eric Stokes,"How awesome is this picture Eric Stokes posted on his IG 

@_jamane_ 🧀 ",-1
329,Chris Olave, Do not compare MT and Chris olave to buccaneers players 😤,-1
330,Kadarius Toney, Kadarius Toney,-1
331,Henry Ruggs III," I’d stay put.  Cee Dee Lamb, Tee Higgins, KeShawn Vaughn, Henry Ruggs III, Antonio Gibson, DeeJay Dallas, etc.  Sooner or later you’ll hit.  You can always trade for a RB.  I’d go Lamb over Taylor. g",-1
332,Dwayne Haskins, Hear Joe Theismann explain how he asked Dwayne Haskins to “think about” choosing a number other than “7” but Haskins insisted on #7 so Theismann gave his blessing   ,-1
333,Jerry Tillery,Why Jerry Tillery is perfect pick by Chargers ,-1
334,Kwity Paye,Former Michigan DL Kwity Paye inks rookie deal with Indianapolis Colts - 247Sports  ,-1
335,Josh Allen,Thank you to  of  for discussing  first-rounder Josh Allen with me!   ,-1
336,Trey Lance,Trey Lance is the best in my opinion ,-1
337,Brian Burns,Brian Burns and Christian Miller are both edge rushers. They will play as defensive ends in a 4-3 and as outside linebackers in a 3-4. Why is this so hard to understand?,-1
338,Jedrick Wills Jr.,"BAKER’S MAN: Will QB Baker Mayfield take advantage of what Cleveland accomplished in this year’s NFL draft? After landing RT Jack Conklin and TE Austin Hooper in free agency, the Browns added monster-mauler OT Jedrick Wills Jr. in the 1st round. See more:  ",-1
339,Rashan Gary,Packers | Rashan Gary wearing brace ,-1
340,C.J. Henderson," @1010xlfattony Today: Josh Allen, Yannick, Chark, Hayden, Fournette. Next Year: Josh Allen, Jawan Taylor, Chark, C. J. Henderson, Shenault ",-1
341,Jaelan Phillips,  Jaelan Phillips will be better ☹️,-1
342,Odafe Oweh," Odafe Oweh went to Baltimore, we're in this together",-1
343,Cesar Ruiz,"     Este sr cesar Ruiz Diaz de caradura no da mas, son el sector empresarial que recibe del estado el mayor subsidio y estan al dia con el cobró de las misma y no olvidar los grandes creditos que el estado les da por BNF, que al final ni siquiera  pagan ni la 1era cuota.",-1
344,Tyler Linderbaum,Tyler Linderbaum or George Pickens ,-1
345,Travis Etienne, Travis Etienne Jr,-1
346,Noah Igbinoghene,"Is rookie Noah Igbinoghene the 3rd CB providing depth, while creating a talented starting 3? Or is he being prepared to take over for XMan in 2021?  


 ",-1
347,Chase Young,Schedule realesed tomorrow…other than division games the only games I care about are Ron vs Carolina and Chase Young vs Trent Williams,-1
348,Tytus Howard,"Via ESPN -    ""From Facebook message to first-round pick: Tytus Howard’s long road to Houston"" ",-1
349,Derek Stingley,"             Defense- Tyson Jackson, Marquise Hill at DE. Glenn Dorsey , Kyle Williams and Brockers at DT. Devin White, Patrick Queen and Damone Clark at LB. Patrick Peterson, Derek Stingley and Tyrann Mathieu at CB. Jamal Adam's, LaRon Landry and Craig Steltz at Safety.",-1
350,Patrick Surtain II,Scouting Broncos cornerback Patrick Surtain II ,-1
351,C.J. Henderson,"pois era o que eu queria que a equipe fizessem, caso C. J. Henderson não estivesse disponível na 17ª.

Com vários times que tinham WR como need deixando a posição ou o melhor jogador disponível passar, como Jets e Raiders, CeeDee Lamb caiu no nosso colo.

📸: Tom Fox/Dallas News ",-1
352,Jeff Okudah,Higgins isn’t perfect and neither are his hands. Here we see an easy drop on a critical down. He does a nice job working against first round pick Jeff Okudah and getting to where he needs to be for the first down but just let’s it go right through his hands. ,-1
353,Chris Olave,"Similar things are true about Jameson Williams, Chris Olave, Trent McDuffee etc, with the exception that if they hit their impact will be greater than Hall’s",-1
354,Alex Leatherwood,Raiders declined trade-down offer in NFL Draft to avoid losing Alex Leatherwood ,-1
355,Caleb Farley," As a Phin Fan, Holland. Generally, Caleb Farley. 🏈💯",-1
356,Damon Arnette,   yeah yeah it’s a conspiracy against the silver and black hey they won’t keep us down Nightsy eyyaeghh,-1
357,Kenny Pickett,"Lol man yah needta make up your mind first Kenny Pickett’s comp was Derek Carr, Then Andy Dalton now it’s Tony Romo 😂🤦🏽‍♂️",-1
358,Jameson Williams,"Christian Watson ran 726 routes in 4 yrs in college. Jameson Williams had 729 in 3 yrs. Same opportunity. 
Targets: 140 (JW) vs 180 (CW)
Catches: 93 (JW) vs 104 (CW)
Yards: 1,827 (JW) vs 2,140 (CW)
YPR: 19.6 (JW) vs 20.6 (CW)
Y/RR: 2.51 (JW) vs 2.95 (CW)
🤯🤯🤯
Buy Watson in GB.",-1
359,Ed Oliver, WEEKEND Score BIG with Mindy  all weekend. Auto entry for Ed Oliver  jersey. get your entries  ,-1
360,Austin Jackson," We still need more for the o-line but this year was a good start.  Face it, we can do better at right tackle than Davis.  Left tackle is a huge concern right now because Austin Jackson just isn't ready imo.  We have a lot of unknowns on the line right now.",-1
361,Trent McDuffie,"Rookie Numbers: 
Trent McDuffie #21 
George Karlaftis #56
Skyy Moore #24 
Bryan Cook #6
Leo Chenal #49
Joshua Williams #23 
Darian Kinnard #75 
Jaylen Watson #35
Isiah Pacheco #10 
Nazeeh Johnson #13",-1
362,T.J. Hockenson,"My first rookie pick of 2019:

T.J. Hockenson   @ 1.8
(superflex league)

My team was very TE needy, with Olsen, Watson, Jonnu.  Not that i wouldn’t have not took him  there, but Montgomery fell to 1.7 and if i had to pick between the 2 it would’ve been very tuff.",-1
363,Brandon Aiyuk,"San Francisco 49ers: 49ers Morning Report: 2020 Season Opponents, Brandon Aiyuk Talks WR Room, Q&amp;A with 49ers ",-1
364,Ikem Ekwonu,". joined  on the  as he discussed how awesome it was to see Ikem Ekwonu be drafted by the , and Dave got into how he is trying to keep  grounded with high expectations entering the 2022 season.

",-1
365,Ahmad Gardner,Jets draft filled needs on offense: Max Mitchell offensive tackle; Breece Hall running back; Garrett Wilson wide receiver; Jeremy Ruckert tight end;&amp; on defense: Jermaine Johnson edge rusher; Ahmad Gardner (cornerback);Micheal Clemons defensive lineman. No more excuses for Zach.,-1
366,Daniel Jones, I rather have Teddy Bridgewater over Daniel Jones,-1
367,Kyler Murray,Which first-year pros -- like Arizona Cardinals QB Kyler Murray and Pittsburgh Steelers LB Devin Bush -- will make an immediate impact in the NFL?  projects his 2019 All-Rookie Team  ,-1
368,Chris Lindstrom,"14(1). Chris Lindstrom. G.
31(1). Kaleb McGary. OT.
111(4). Kendall Sheffield. CB.
135(4). John Cominsky. DE.
152(5). Qadree Ollison. RB.
172(5). Jordan Miller. CB.
203(6). Marcus Green. WR.",-1
369,Rashan Gary,"Rashan Gary strolled into his first Packers camp with a brace on his shoulder to protect his injured labrum. For now, the franchise claims they aren't concerned. ",-1
370,Nick Bosa," Nick Bosa still follows the IG accounts posting white nationalism. A 3rd one he started following a few weeks before the draft. 

Surprising because it would be easy for him to unfollow. Especially in light of the *apology* presser.",-1
371,Treylon Burks,"dammit. . . . why treylon burks gotta wear 16, such an ugly ass number",-1
372,Brandon Aiyuk,"San Francisco 49ers newest receiver Brandon Aiyuk gets warm welcome from teammate Deebo Samuel. 

 ",-1
373,Tua Tagovailoa,"Rookie NFL Quarterback Tua Tagovailoa Says He’ll Play for an ‘Audience of 1,’ Christ ",-1
374,Johnathan Abram,"I just noticed the Raiders drafted Johnathan Abram with Karl Joseph still on the roster

Boy Karl Joseph must fucking suc",-1
375,Penei Sewell,"Know a lot of people have laughed at the  new HC Dan Campbell but they've really done a nice job the past few weeks. That draft was really strong.

The OL is going to be a great unit:
LT — Taylor Decker
LG — Jonah Jackson
C — Frank Ragnow
RG — Hal Vaitai
RT — Penei Sewe",-1
376,Marquise Brown,"Rookie wide receiver Miles Boykin spoke to the media today about his mindset going into his first season with the  and his new relationship with fellow rookie Marquise Brown.
",-1
377,Penei Sewell,"Hit or Miss? 

How did we do when it came to ranking this year's first round picks as high school prospects? 

 has the full breakdown, including a Hit on former four-star Penei Sewell: 

 ",-1
378,Lewis Cine,"With the  drafting S Lewis Cine in the 1st round of the  

What happens to Cam Bynum, and how will the  use him?

 give’s his thoughts on  that will assuredly get the fans excited! ",-1
379,Tua Tagovailoa,"Rookie NFL Quarterback Tua Tagovailoa Says He'll Play for an 'Audience of 1,' Christ. Miami Dolphins’ rookie quarterback Tua Tagovailoa unveiled his new number Tuesday, and he says it has a connection to his Christian faith. ",-1
380,Alijah Vera-Tucker,Anyone in National sports media who criticized the  trading up for Alijah Vera-Tucker clearly doesn’t watch the Jets and has no clue just how bad the IOL has been.,-1
381,Kaiir Elam,"  Buffalo Bills Defense

Edge:  Rousseau | Epenesa
NT: DaQuan Jones / T Settle
DT: Ed Oliver | J Phillips
Edge: Von Miller | Boogie / Shaq

LB: Tremaine Edmunds
LB: Milano | Terrel Bernard

CB: Tre White
CB: Kaiir Elam | Dane Jackson
Slot: Taron Johnson | Neal
S: J Poyer
S: M Hyde",-1
382,Tristan Wirfs,"There are certain traits in particular of first round pick Tristan Wirfs that the Bucs' front office love about him. 

See what they are in the Edmonson Electric • AC • Security Fab 5.

",-1
383,Cole Strange,"Great stuff here by . A lot of positives about Cole Strange here, value for trading down and some who liked Zappe batter than Corral.   ",-1
384,Marquise Brown,"And ICYMI Kelly Gregg joined us today to talk about the  to  pipeline, including new Ravens Marquise Brown &amp; Ben Powers. He ended up saying...and we quote...""for $800, I'll start getting naked right now."" Why? Let him explain...  ",-1
